Date,SKEW
2016-10-07,119.95
2016-10-06,120.48
2016-10-05,121.54
2016-10-04,119.67
2016-10-03,122.86
2016-09-30,124.58
2016-09-29,122.67
2016-09-28,126.85
2016-09-27,123.74
2016-09-26,121.72
2016-09-23,125.13
2016-09-22,124.29
2016-09-21,122.13
2016-09-20,126.85
2016-09-19,125.81
2016-09-16,125.25
2016-09-15,130.57
2016-09-14,127.4
2016-09-13,131.56
2016-09-12,134.18
2016-09-09,125.25
2016-09-08,129.74
2016-09-07,130.94
2016-09-06,131.16
2016-09-02,128.4
2016-09-01,129.83
2016-08-31,129.25
2016-08-30,136.14
2016-08-29,131.3
2016-08-26,132.4
2016-08-25,131.06
2016-08-24,130.43
2016-08-23,131.79
2016-08-22,135.2
2016-08-19,136.58
2016-08-18,134.87
2016-08-17,136.71
2016-08-16,132.27
2016-08-15,134.45
2016-08-12,132.13
2016-08-11,131.28
2016-08-10,133.25
2016-08-09,135.56
2016-08-08,132.94
2016-08-05,130.6
2016-08-04,127.06
2016-08-03,129.99
2016-08-02,129.25
2016-08-01,128.01
2016-07-29,128.25
2016-07-28,128.51
2016-07-27,125.68
2016-07-26,130.02
2016-07-25,129.65
2016-07-22,128.36
2016-07-21,128.01
2016-07-20,128.49
2016-07-19,129.92
2016-07-18,125.38
2016-07-15,129.76
2016-07-14,128.28
2016-07-13,127.29
2016-07-12,126.1
2016-07-11,125.03
2016-07-08,127.2
2016-07-07,124.72
2016-07-06,123.14
2016-07-05,125.35
2016-07-01,128.53
2016-06-30,140.58
2016-06-29,136.46
2016-06-28,153.66
2016-06-27,136.43
2016-06-24,142.92
2016-06-23,145.7
2016-06-22,136.48
2016-06-21,135.92
2016-06-20,137.81
2016-06-17,137.94
2016-06-16,142.5
2016-06-15,140.91
2016-06-14,138.02
2016-06-13,137.49
2016-06-10,133.67
2016-06-09,129.31
2016-06-08,129.23
2016-06-07,128.54
2016-06-06,125.57
2016-06-03,125.04
2016-06-02,134.15
2016-06-01,132.46
2016-05-31,127.7
2016-05-27,129.61
2016-05-26,129.28
2016-05-25,127.13
2016-05-24,124.74
2016-05-23,124.74
2016-05-20,125.61
2016-05-19,123.66
2016-05-18,122.22
2016-05-17,122.96
2016-05-16,124.13
2016-05-13,121.46
2016-05-12,123.52
2016-05-11,122.19
2016-05-10,124.1
2016-05-09,123.17
2016-05-06,120.82
2016-05-05,123.74
2016-05-04,124.31
2016-05-03,125.94
2016-05-02,127.67
2016-04-29,126.49
2016-04-28,125.44
2016-04-27,126.09
2016-04-26,127.4
2016-04-25,126.78
2016-04-22,123.25
2016-04-21,127.06
2016-04-20,126.2
2016-04-19,126.19
2016-04-18,120.55
2016-04-15,123.1
2016-04-14,126.23
2016-04-13,127.13
2016-04-12,126.17
2016-04-11,119.13
2016-04-08,113.84
2016-04-07,125.13
2016-04-06,125.06
2016-04-05,120.27
2016-04-04,125.23
2016-04-01,124.03
2016-03-31,122.03
2016-03-30,128.67
2016-03-29,132.61
2016-03-28,127.74
2016-03-24,119.02
2016-03-23,129.67
2016-03-22,130.99
2016-03-21,129.35
2016-03-18,126.75
2016-03-17,126.65
2016-03-16,125.42
2016-03-15,132.45
2016-03-14,133.3
2016-03-11,128.99
2016-03-10,130.04
2016-03-09,123.47
2016-03-08,123.53
2016-03-07,124.01
2016-03-04,121.65
2016-03-03,125.27
2016-03-02,122.35
2016-03-01,119.81
2016-02-29,117.68
2016-02-26,118.65
2016-02-25,122.02
2016-02-24,119.46
2016-02-23,119.67
2016-02-22,117.46
2016-02-19,123.61
2016-02-18,125.33
2016-02-17,124.99
2016-02-16,125.77
2016-02-12,117.75
2016-02-11,122.38
2016-02-10,120.36
2016-02-09,120.74
2016-02-08,120.25
2016-02-05,119.01
2016-02-04,122.69
2016-02-03,122.04
2016-02-02,119.83
2016-02-01,126.38
2016-01-29,120.86
2016-01-28,129.23
2016-01-27,129.06
2016-01-26,129.53
2016-01-25,132.27
2016-01-22,133.64
2016-01-21,132.99
2016-01-20,134.82
2016-01-19,137.9
2016-01-15,145.03
2016-01-14,138.79
2016-01-13,145.88
2016-01-12,138.67
2016-01-11,142.52
2016-01-08,138.83
2016-01-07,135.94
2016-01-06,135.07
2016-01-05,135.07
2016-01-04,140.0
2015-12-31,124.43
2015-12-30,143.0
2015-12-29,139.26
2015-12-28,136.29
2015-12-24,128.78
2015-12-23,134.69
2015-12-22,133.63
2015-12-21,125.18
2015-12-18,140.84
2015-12-17,131.2
2015-12-16,135.5
2015-12-15,143.35
2015-12-14,140.92
2015-12-11,146.53
2015-12-10,134.94
2015-12-09,134.26
2015-12-08,131.25
2015-12-07,136.77
2015-12-04,136.31
2015-12-03,135.26
2015-12-02,132.66
2015-12-01,135.57
2015-11-30,127.25
2015-11-27,137.66
