Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2016-10-06,17.2,17.35,17.02,17.09,17.075,-0.1,15679.0,0.0,71381.0
2016-10-05,17.05,17.23,16.92,17.12,17.175,0.15,14275.0,0.0,68604.0
2016-10-04,17.25,17.49,17.0,17.05,17.025,-0.2,25536.0,0.0,65731.0
2016-10-03,17.49,17.62,17.18,17.25,17.225,-0.22,18459.0,0.0,62936.0
2016-09-30,17.48,17.97,17.26,17.4,17.45,-0.02,22099.0,0.0,62642.0
2016-09-29,17.3,18.15,17.18,17.5,17.475,0.18,34288.0,0.0,62167.0
2016-09-28,17.45,17.77,17.2,17.3,17.3,-0.18,24078.0,0.0,60535.0
2016-09-27,17.9,18.13,17.35,17.49,17.475,-0.45,23523.0,0.0,58419.0
2016-09-26,17.75,18.3,17.61,17.91,17.925,0.2,18853.0,0.0,59479.0
2016-09-23,17.63,17.78,17.4,17.73,17.725,0.1,23479.0,0.0,58507.0
2016-09-22,18.1,18.1,17.55,17.6,17.625,-0.5,19978.0,0.0,57950.0
2016-09-21,18.73,18.8,17.9,18.15,18.125,-0.6,31948.0,0.0,57234.0
2016-09-20,18.0,18.25,17.79,18.24,18.225,0.2,35673.0,0.0,69420.0
2016-09-19,18.4,18.44,17.75,18.0,18.025,-0.25,40750.0,0.0,67543.0
2016-09-16,18.85,19.15,18.28,18.3,18.275,-0.55,36993.0,0.0,62547.0
2016-09-15,19.25,19.45,18.45,18.85,18.825,-0.45,42247.0,0.0,60199.0
2016-09-14,18.76,19.35,18.45,19.28,19.275,0.45,37035.0,0.0,59490.0
2016-09-13,17.98,19.49,17.93,18.8,18.825,0.85,61489.0,0.0,60392.0
2016-09-12,18.8,19.25,17.75,17.98,17.975,-0.82,49036.0,0.0,59039.0
2016-09-09,17.28,19.0,17.23,18.78,18.8,1.52,44968.0,0.0,58613.0
2016-09-08,17.12,17.32,17.03,17.29,17.275,0.15,13433.0,0.0,60574.0
2016-09-07,17.18,17.31,17.05,17.12,17.125,-0.05,17287.0,0.0,59219.0
2016-09-06,17.55,17.6,17.16,17.17,17.175,-0.4,16556.0,0.0,56296.0
2016-09-02,17.73,17.9,17.5,17.59,17.575,-0.15,18452.0,0.0,53164.0
2016-09-01,17.79,18.05,17.58,17.75,17.725,-0.05,15600.0,0.0,51414.0
2016-08-31,17.84,18.09,17.75,17.77,17.775,-0.05,18026.0,0.0,50266.0
2016-08-30,17.87,17.95,17.7,17.84,17.825,-0.05,12891.0,0.0,51109.0
2016-08-29,18.02,18.1,17.75,17.87,17.875,-0.15,11458.0,0.0,51486.0
2016-08-26,17.9,18.32,17.57,18.03,18.025,0.15,18679.0,0.0,50272.0
2016-08-25,18.02,18.2,17.85,17.85,17.875,-0.2,13173.0,0.0,49602.0
2016-08-24,17.93,18.17,17.9,18.05,18.075,0.15,17533.0,0.0,48183.0
2016-08-23,17.8,17.95,17.65,17.93,17.925,0.12,11857.0,0.0,47390.0
2016-08-22,17.75,17.98,17.68,17.8,17.8,0.08,13841.0,0.0,48899.0
2016-08-19,17.62,17.9,17.6,17.73,17.725,0.1,10347.0,0.0,45523.0
2016-08-18,17.7,17.87,17.55,17.63,17.625,-0.05,14572.0,0.0,44572.0
2016-08-17,17.9,18.18,17.63,17.69,17.675,-0.2,21074.0,0.0,43359.0
2016-08-16,16.55,17.0,16.5,16.97,16.975,0.45,27447.0,0.0,84774.0
2016-08-15,16.7,16.7,16.35,16.53,16.525,-0.2,27608.0,0.0,80632.0
2016-08-12,16.77,17.03,16.6,16.7,16.725,-0.05,31397.0,0.0,75011.0
2016-08-11,16.84,16.9,16.45,16.85,16.775,-0.05,23485.0,0.0,68379.0
2016-08-10,16.7,17.09,16.5,16.82,16.825,0.15,26704.0,0.0,64357.0
2016-08-09,17.0,17.09,16.45,16.7,16.675,-0.32,30653.0,0.0,62605.0
2016-08-08,17.25,17.31,16.98,17.02,17.0,-0.28,16971.0,0.0,59447.0
2016-08-05,17.7,17.77,17.15,17.25,17.275,-0.45,20407.0,0.0,60348.0
2016-08-04,18.0,18.1,17.65,17.75,17.725,-0.28,19343.0,0.0,55962.0
2016-08-03,18.25,18.6,17.99,18.02,18.0,-0.28,20879.0,0.0,54491.0
2016-08-02,17.85,18.67,17.75,18.29,18.275,0.4,23821.0,0.0,53625.0
2016-08-01,18.0,18.21,17.7,17.88,17.875,-0.15,25896.0,0.0,53293.0
2016-07-29,18.38,18.56,18.0,18.05,18.025,-0.35,18839.0,0.0,50965.0
2016-07-28,18.63,18.89,18.35,18.38,18.375,-0.3,15714.0,0.0,48416.0
2016-07-27,18.8,19.05,18.56,18.65,18.675,-0.1,15990.0,0.0,45623.0
