"SPX2.rv","SPX2.r","SPX2.rs","SPX2.nobs","SPX2.open","SPX2.highlow","SPX2.highopen","SPX2.openprice","SPX2.closeprice","DATE"
0.00015724,-0.010103618,9.95e-05,1554,34191.158,0.027186247,0.005937756,1469.25,1454.48,2000-01-03
0.000298147,-0.039292183,0.000254283,1564,34195.042,0.040522257,0,1455.22,1399.15,2000-01-04
0.000307226,0.001749195,0.000138133,1552,34196.701,-0.025505243,0.009848303,1399.42,1401.87,2000-01-05
0.000136238,0.00106212,6.2e-05,1561,34191.425,-0.014180385,0.00695807,1402.11,1403.6,2000-01-06
9.27e-05,0.026022074,2.41e-05,1540,34186.145,-0.028066164,0.026126203,1403.45,1440.45,2000-01-07
0.000117787,0.010537636,3.37e-05,1573,34191.503,-0.015754861,0.015754861,1441.47,1456.74,2000-01-10
7.46e-05,-0.013183392,5.22e-05,1523,34193.646,0.01675762,0.000726959,1457.6,1438.51,2000-01-11
0.000128924,-0.004570545,6.96e-05,1549,34186.304,0.010648481,0.002804428,1438.56,1432,2000-01-12
0.000100003,0.012323819,2.34e-05,1539,34184.312,-0.015209287,0.015209287,1432.25,1450.01,2000-01-13
0.000138071,0.009638298,3.35e-05,1572,34185.565,-0.015958295,0.015958295,1449.68,1463.72,2000-01-14
0.000100673,-0.006470742,6.91e-05,1543,34187.97,0.00949792,0,1465.15,1455.7,2000-01-18
4.67e-05,0.00026798,2.5e-05,1539,34193.415,-0.008735241,0.004285922,1455.14,1455.53,2000-01-19
0.000123904,-0.007528785,6.39e-05,1535,34188.602,0.018587857,0.006613156,1455.9,1444.98,2000-01-20
5.85e-05,-0.00326355,2.81e-05,1537,34194.769,0.009086131,0.004947721,1445.57,1440.86,2000-01-21
0.000206457,-0.028479363,0.000125366,1546,34182.681,0.04118483,0.008793163,1441.36,1400.89,2000-01-24
0.000176353,0.005826606,6.57e-05,1550,34184.951,-0.0183896,0.009041929,1401.53,1409.72,2000-01-25
6.84e-05,-0.0041646,4.1e-05,1535,34182.838,0.008781748,0.001757283,1410.03,1404.17,2000-01-26
0.000189558,-0.00390337,0.000102228,1537,34187.533,0.027255873,0.010464326,1404.09,1398.62,2000-01-27
0.000282463,-0.026415509,0.000179349,1540,34195.048,0.030756465,0,1398.56,1362.1,2000-01-28
0.00019816,0.024180347,6.15e-05,1541,34193.425,-0.031641058,0.024180347,1360.16,1393.45,2000-01-31
0.00010717,0.01031621,4.18e-05,1539,34191.328,-0.019805601,0.012846861,1394.46,1408.92,2000-02-01
0.000107626,0.000234135,6.56e-05,1539,34183.123,-0.01206101,0.007944066,1409.28,1409.61,2000-02-02
0.00018591,0.010518462,6.33e-05,1541,34185.426,-0.019304498,0.011753636,1409.12,1424.02,2000-02-03
7.47e-05,-0.000379027,3.68e-05,1532,34195.525,0.010698359,0.007648034,1424.97,1424.43,2000-02-04
5.52e-05,0.000126364,2.67e-05,1549,34188.376,0.009730827,0.001949838,1424.37,1424.55,2000-02-07
9.39e-05,0.0116504,2e-05,1554,34191.823,-0.012274802,0.012274802,1424.24,1440.93,2000-02-08
